Location,Population,% of world,Date,Source (official or from the United Nations),Notes,source_page,table_number,Country/Territory Country/Territory,IMF[1][6] Forecast,IMF[1][6] Year,World Bank[7] Estimate,World Bank[7] Year,United Nations[8] Estimate,United Nations[8] Year,Country Country,Youth (15 to 24) Rate,Youth (15 to 24) Year,Adult (25+) Rate,Adult (25+) Year,Elderly (65+) Rate,Elderly (65+) Year,Youth Gender Parity Index Rate,Youth Gender Parity Index Year,Literacy rate[12][13] [text–source integrity?] Total,Literacy rate[12][13] [text–source integrity?] Male,Literacy rate[12][13] [text–source integrity?] Female,Literacy rate[12][13] [text–source integrity?] Gender gap,Literacy rate[12][13] [text–source integrity?] Year,Territory,Literacy rate (all),Male literacy,Female literacy,Gender difference[a],Year,Note
Madagascar,31727042.0,0.4%,1 Jul 2025,National annual projection[61],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,29911840.0,0.4%,2025,National annual projection[62],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,29442327.0,0.4%,1 Jul 2025,National annual projection[63],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,29389150.0,0.4%,14 Dec 2021,2021 census result[64],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,28517000.0,0.3%,1 Jul 2025,UN projection[65],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,27400013.0,0.3%,31 Dec 2024,Official projection[66],[o],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,26312034.0,0.3%,1 Jul 2024,National annual projection[67],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,25950000.0,0.3%,1 Jul 2024,National annual projection[68],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,25620000.0,0.3%,1 Jul 2025,UN projection[69],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,24070553.0,0.3%,1 Jul 2025,National projection[70],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,23337936.0,0.3%,31 Jul 2025,Official estimate[71],[p],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,22395489.0,0.3%,15 Jun 2022,2022 census result[72],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,21763170.0,0.3%,19 Dec 2024,Preliminary census result[73],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,20734262.0,0.3%,1 Jul 2025,National annual projection[74],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,20387811.0,0.2%,1 Jul 2025,Official estimate[75],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,20206953.0,0.2%,30 Jun 2025,National annual projection[76],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,19693423.0,0.2%,8 Sep 2022,2022 census result[77],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,19655000.0,0.2%,1 Jul 2025,UN projection[78],[q],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,19340757.0,0.2%,1 Jul 2025,National annual projection[79],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,19064409.0,0.2%,1 Jan 2024,Official estimate[80],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,18126390.0,0.2%,15 May 2023,2023 census result[81],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,18080943.0,0.2%,30 Jun 2025,Official estimate[82],[r],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,18079810.0,0.2%,1 Jul 2025,National annual projection[83],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,17577760.0,0.2%,1 Jul 2025,Official projection[84],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,17073087.0,0.2%,1 Jul 2025,Official projection[85],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,16938986.0,0.2%,1 Oct 2022,2022 census result[86],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,15786898.0,0.2%,1 Jul 2025,National annual projection[87],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,14363931.0,0.2%,1 Jul 2025,National annual projection[88],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,14104969.0,0.2%,1 Jul 2025,National annual projection[89],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,13224860.0,0.2%,1 Jul 2025,National annual projection[90],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,12332788.0,0.2%,16 Aug 2024,Preliminary census result[91],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,11972169.0,0.1%,6 Nov 2024,2024 census result[92],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,11867032.0,0.1%,1 Jul 2024,National annual projection[93],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,11825551.0,0.1%,1 Jan 2025,Official estimate[94],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,11781559.0,0.1%,1 Jul 2021,National estimate[95],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,11734000.0,0.1%,31 Dec 2024,National estimate[96],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,11312620.0,0.1%,23 Mar 2024,2024 census result[97],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,10876875.0,0.1%,31 Mar 2025,Official estimate[98],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,10771504.0,0.1%,10 Nov 2022,2022 census result[99],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,10749635.0,0.1%,31 Dec 2024,2024 estimate[100],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,10678556.0,0.1%,31 Dec 2023,Official estimate[101],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,10592686.0,0.1%,30 Jun 2025,Monthly national estimate[102],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,10499000.0,0.1%,1 Jan 2025,Official estimate[103],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,10400720.0,0.1%,1 Jan 2024,Official estimate[104],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,10236227.0,0.1%,1 May 2025,Monthly national estimate[105],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,10105800.0,0.1%,30 Jun 2025,National monthly estimate[106],[s],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,9892632.0,0.1%,1 Jul 2024,National annual projection[107],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,9748007.0,0.1%,31 Dec 2024,Official estimate[108],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,9539502.0,0.1%,1 Jan 2025,Official estimate[109],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,9200931.0,0.1%,1 Jul 2025,National quarterly estimate[110],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,9109280.0,0.1%,1 Jan 2025,Official estimate[111],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,9077691.0,0.1%,1 Jul 2025,National annual projection[112],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,9067144.0,0.1%,31 Mar 2025,National quarterly estimate[113],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,8095498.0,0.10%,8 Nov 2022,2022 census result[114],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laos,7647000.0,0.09%,1 Jul 2024,National annual projection[115],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong (China),7527500.0,0.09%,30 Jun 2025,National estimate[116],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,7459000.0,0.09%,1 Jul 2025,UN projection[117],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,7281800.0,0.09%,1 Jan 2025,Monthly national estimate[118],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,7057841.0,0.09%,17 Dec 2022,2022 census result[119],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,6803886.0,0.08%,30 Jun 2023,Official estimate[120],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,6567783.0,0.08%,1 Jan 2025,Official estimate[121],[t],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,6470307.0,0.08%,1 Jul 2024,National annual projection[122],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,6437360.0,0.08%,31 Dec 2024,Official annual estimate[123],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of the Congo,6142180.0,0.07%,17 May 2023,2023 census result[124],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,6109644.0,0.07%,9 Nov 2022,2022 census result[125],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,6036900.0,0.07%,30 Jun 2024,Official estimate[126],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,6029976.0,0.07%,2 May 2024,2024 census result[127],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,6002420.0,0.07%,1 Jul 2025,National quarterly estimate[128],[u],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,5645651.0,0.07%,31 Jul 2025,Monthly national estimate[129],[v],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,5606944.0,0.07%,30 Jun 2025,National quarterly estimate[130],[w],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,5490000.0,0.07%,1 Jul 2021,Official estimate[131],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,5483450.0,0.07%,1 Jan 2023,National annual projection[132],[x],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,5415978.0,0.07%,31 Mar 2025,National quarterly estimate[133],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,5380300.0,0.07%,1 Apr 2024,National estimate[134],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,5324700.0,0.06%,30 Jun 2025,National quarterly estimate[135],[y],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,5309625.0,0.06%,30 Jun 2024,National annual projection[136],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,5306976.0,0.06%,30 Jun 2025,Monthly national estimate[137],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,5248621.0,0.06%,10 Nov 2022,2022 census result[138],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,4927532.0,0.06%,25 Dec 2023,2023 census result[139],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,4881254.0,0.06%,1 Jan 2025,Official estimate[140],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,4064780.0,0.05%,8 Jan 2023,2023 census result[141],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,3859686.0,0.05%,1 Jul 2023,Official estimate[142],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,3704500.0,0.05%,1 Jan 2025,Official estimate[143],[z],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,3607000.0,0.04%,1 Jul 2025,UN projection[144] (see note),[aa],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,3544835.0,0.04%,31 Dec 2024,National annual projection[151],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,3499451.0,0.04%,31 May 2023,2023 National census[152],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,3422000.0,0.04%,1 Jul 2023,Official estimate[153],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico (US),3203295.0,0.04%,1 Jul 2024,Annual projection[154],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,3173024.0,0.04%,30 Nov 2024,Monthly national estimate[155],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,3081100.0,0.04%,1 Jan 2025,National quarterly estimate[156],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,3022401.0,0.04%,24 Sep 2023,2023 National census[157],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,2894177.0,0.04%,1 Aug 2025,Monthly national estimate[158],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,2825544.0,0.03%,1 Jul 2019,National projection[159],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,2469296.0,0.03%,1 Jul 2025,National annual projection[160],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,2422712.0,0.03%,1 May 2024,Preliminary census results[161],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,2381300.0,0.03%,1 Jan 2025,Official estimate[162],[ab],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,2363314.0,0.03%,1 Jan 2025,Annual national estimate[163],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,2359609.0,0.03%,18 Mar 2022,2022 census result[164],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,2306000.0,0.03%,1 Jul 2023,Official projection[165],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,2130638.0,0.03%,1 Apr 2025,National quarterly estimate[166],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,1830400.0,0.02%,1 Jul 2025,Monthly national estimate[167],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,1826247.0,0.02%,31 Dec 2023,Official estimate[168],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,1781308.0,0.02%,1 Jul 2023,National annual projection[169],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,1668768.0,0.02%,1 Jul 2024,Official estimate[170],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,1594654.0,0.02%,31 Dec 2024,Official estimate[171],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,1585566.0,0.02%,4 Apr 2024,2024 national census[172],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,1391221.0,0.02%,1 Jul 2025,National annual projection[173],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,1369995.0,0.02%,1 Jan 2025,Official estimate[174],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,1368333.0,0.02%,30 Jun 2024,Official estimate[175],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
